Location,Setting,Varies,P1,P2,P3
0x041C[31:0],M_DEN_PLLA,No,0x80000000,0x80000000,0x80000000
0x0421[3:0],M_FRAC_MODE_PLLA,No,0xB,0xB,0xB
0x0421[4],M_FRAC_EN_PLLA,Yes,0x1,0x0,0x1
0x0422[0],M_FSTEP_MSK_PLLA,No,0x1,0x1,0x1
0x0422[1],M_FSTEPW_DEN_PLLA,No,0x0,0x0,0x0
0x0423[55:0],M_FSTEPW_PLLA,No,0x0,0x0,0x0
0x042A[2:0],IN_SEL_PLLA,No,0x0,0x0,0x0
0x042B[0],FASTLOCK_AUTO_EN_PLLA,No,0x1,0x1,0x1
0x042B[1],FASTLOCK_MAN_PLLA,No,0x0,0x0,0x0
0x042C[0],HOLD_EN_PLLA,No,0x1,0x1,0x1
0x042C[3],HOLD_RAMP_BYP_PLLA,No,0x0,0x0,0x0
0x042C[4],HOLDEXIT_BW_SEL1_PLLA,No,0x0,0x0,0x0
0x042C[7:5],RAMP_STEP_INTERVAL_PLLA,No,0x4,0x4,0x4
0x042D[1],HOLD_RAMPBYP_NOHIST_PLLA,No,0x1,0x1,0x1
0x042E[4:0],HOLD_HIST_LEN_PLLA,No,0x19,0x19,0x19
0x042F[4:0],HOLD_HIST_DELAY_PLLA,No,0x19,0x19,0x19
0x0431[4:0],HOLD_REF_COUNT_FRC_PLLA,No,0x0,0x0,0x0
0x0432[23:0],HOLD_15M_CYC_COUNT_PLLA,Yes,0xA2C3,0x35A,0xA2C3
0x0435[0],FORCE_HOLD_PLLA,No,0x0,0x0,0x0
0x0436[1:0],CLK_SWITCH_MODE_PLLA,No,0x2,0x2,0x2
0x0436[2],HSW_EN_PLLA,No,0x1,0x1,0x1
0x0437[3:0],IN_LOS_MSK_PLLA,No,0x0,0x0,0x0
0x0437[7:4],IN_OOF_MSK_PLLA,No,0x0,0x0,0x0
0x0438[2:0],IN0_PRIORITY_PLLA,No,0x1,0x1,0x1
0x0438[6:4],IN1_PRIORITY_PLLA,No,0x2,0x2,0x2
0x0439[2:0],IN2_PRIORITY_PLLA,Yes,0x3,0x0,0x3
0x0439[6:4],IN3_PRIORITY_PLLA,Yes,0x4,0x0,0x4
0x043A[1:0],HSW_MODE_PLLA,No,0x2,0x2,0x2
0x043A[3:2],HSW_PHMEAS_CTRL_PLLA,No,0x0,0x0,0x0
0x043B[9:0],HSW_PHMEAS_THR_PLLA,No,0x3,0x3,0x3
0x043D[4:0],HSW_COARSE_PM_LEN_PLLA,Yes,0xC,0x11,0xC
0x043E[4:0],HSW_COARSE_PM_DLY_PLLA,No,0x6,0x6,0x6
0x0442[17:0],FINE_ADJ_OVR_PLLA,No,0x0,0x0,0x0
0x0445[1],FORCE_FINE_ADJ_PLLA,No,0x0,0x0,0x0
0x0489[12:0],PFD_EN_DELAY_PLLA,Yes,0x2A0,0xD,0x2C1
0x049B[1],INIT_LP_CLOSE_HO_PLLA,No,0x1,0x1,0x1
0x049B[2],HO_SKIP_PHASE_PLLA,No,0x0,0x0,0x0
0x049B[4],HOLD_PRESERVE_HIST_PLLA,No,0x1,0x1,0x1
0x049B[5],HOLD_FRZ_WITH_INTONLY_PLLA,No,0x1,0x1,0x1
0x049B[6],HOLDEXIT_BW_SEL0_PLLA,No,0x1,0x1,0x1
0x049B[7],HOLDEXIT_STD_BO_PLLA,No,0x1,0x1,0x1
0x049D[5:0],BW0_HO_PLLA,Yes,0x10,0xF,0x10
0x049E[5:0],BW1_HO_PLLA,No,0x20,0x20,0x20
0x049F[5:0],BW2_HO_PLLA,Yes,0xD,0xC,0xE
0x04A0[5:0],BW3_HO_PLLA,Yes,0xC,0xB,0xD
0x04A1[5:0],BW4_HO_PLLA,No,0x7,0x7,0x7
0x04A2[5:0],BW5_HO_PLLA,Yes,0x7,0x3F,0x7
0x04A6[2:0],RAMP_STEP_SIZE_PLLA,No,0x3,0x3,0x3
0x04A6[3],RAMP_SWITCH_EN_PLLA,No,0x1,0x1,0x1
0x0508[5:0],BW0_PLLB,Yes,0x10,0xE,0x10
0x0509[5:0],BW1_PLLB,Yes,0x1E,0x1D,0x1E
0x050A[5:0],BW2_PLLB,Yes,0xD,0xC,0xD
0x050B[5:0],BW3_PLLB,Yes,0xC,0xB,0xC
0x050C[5:0],BW4_PLLB,No,0x7,0x7,0x7
0x050D[5:0],BW5_PLLB,Yes,0x7,0x3F,0x7
0x050E[5:0],FASTLOCK_BW0_PLLB,Yes,0x14,0x13,0x14
0x050F[5:0],FASTLOCK_BW1_PLLB,Yes,0x28,0x29,0x28
0x0510[5:0],FASTLOCK_BW2_PLLB,Yes,0x9,0x7,0x9
0x0511[5:0],FASTLOCK_BW3_PLLB,Yes,0x8,0x6,0x8
0x0512[5:0],FASTLOCK_BW4_PLLB,No,0x7,0x7,0x7
0x0513[5:0],FASTLOCK_BW5_PLLB,Yes,0x7,0x3F,0x7
0x0515[55:0],M_NUM_PLLB,Yes,0x41A41A000000,0x1B59B580000,0x41A41A000000
0x051C[31:0],M_DEN_PLLB,Yes,0x80000000,0xA2000000,0x80000000
0x0521[3:0],M_FRAC_MODE_PLLB,No,0xB,0xB,0xB
0x0521[4],M_FRAC_EN_PLLB,No,0x1,0x1,0x1
0x0522[0],M_FSTEP_MSK_PLLB,No,0x1,0x1,0x1
0x0522[1],M_FSTEPW_DEN_PLLB,No,0x0,0x0,0x0
0x0523[55:0],M_FSTEPW_PLLB,No,0x0,0x0,0x0
0x052A[0],IN_SEL_REGCTRL_PLLB,No,0x1,0x1,0x1
0x052A[3:1],IN_SEL_PLLB,No,0x0,0x0,0x0
0x052B[0],FASTLOCK_AUTO_EN_PLLB,No,0x1,0x1,0x1
0x052B[1],FASTLOCK_MAN_PLLB,No,0x0,0x0,0x0
0x052C[0],HOLD_EN_PLLB,No,0x1,0x1,0x1
0x052C[3],HOLD_RAMP_BYP_PLLB,No,0x0,0x0,0x0
0x052C[4],HOLDEXIT_BW_SEL1_PLLB,No,0x0,0x0,0x0
0x052C[7:5],RAMP_STEP_INTERVAL_PLLB,No,0x4,0x4,0x4
0x052D[1],HOLD_RAMPBYP_NOHIST_PLLB,No,0x1,0x1,0x1
0x052E[4:0],HOLD_HIST_LEN_PLLB,No,0x19,0x19,0x19
0x052F[4:0],HOLD_HIST_DELAY_PLLB,No,0x19,0x19,0x19
0x0531[4:0],HOLD_REF_COUNT_FRC_PLLB,No,0x0,0x0,0x0
0x0532[23:0],HOLD_15M_CYC_COUNT_PLLB,Yes,0xA2C3,0x35A,0xA2C3
0x0535[0],FORCE_HOLD_PLLB,No,0x0,0x0,0x0
0x0536[1:0],CLK_SWITCH_MODE_PLLB,No,0x2,0x2,0x2
0x0536[2],HSW_EN_PLLB,No,0x1,0x1,0x1
0x0537[3:0],IN_LOS_MSK_PLLB,No,0x0,0x0,0x0
0x0537[7:4],IN_OOF_MSK_PLLB,No,0x0,0x0,0x0
0x0538[2:0],IN0_PRIORITY_PLLB,No,0x1,0x1,0x1
0x0538[6:4],IN1_PRIORITY_PLLB,No,0x2,0x2,0x2
0x0539[2:0],IN2_PRIORITY_PLLB,Yes,0x3,0x0,0x3
0x0539[6:4],IN3_PRIORITY_PLLB,Yes,0x4,0x0,0x4
0x053A[1:0],HSW_MODE_PLLB,No,0x2,0x2,0x2
0x053A[3:2],HSW_PHMEAS_CTRL_PLLB,No,0x0,0x0,0x0
0x053B[9:0],HSW_PHMEAS_THR_PLLB,No,0x3,0x3,0x3
0x053D[4:0],HSW_COARSE_PM_LEN_PLLB,Yes,0xC,0x11,0xC
0x053E[4:0],HSW_COARSE_PM_DLY_PLLB,No,0x6,0x6,0x6
0x0542[17:0],FINE_ADJ_OVR_PLLB,No,0x0,0x0,0x0
0x0545[1],FORCE_FINE_ADJ_PLLB,No,0x0,0x0,0x0
0x0589[12:0],PFD_EN_DELAY_PLLB,Yes,0x2A0,0xD,0x2C1
0x059B[1],INIT_LP_CLOSE_HO_PLLB,No,0x1,0x1,0x1
0x059B[2],HO_SKIP_PHASE_PLLB,No,0x0,0x0,0x0
0x059B[4],HOLD_PRESERVE_HIST_PLLB,No,0x1,0x1,0x1
0x059B[5],HOLD_FRZ_WITH_INTONLY_PLLB,No,0x1,0x1,0x1
0x059B[6],HOLDEXIT_BW_SEL0_PLLB,No,0x1,0x1,0x1
0x059B[7],HOLDEXIT_STD_BO_PLLB,No,0x1,0x1,0x1
0x059D[5:0],HOLDEXIT_BW0_PLLB,Yes,0x10,0xE,0x10
0x059E[5:0],HOLDEXIT_BW1_PLLB,Yes,0x20,0x1F,0x20
0x059F[5:0],HOLDEXIT_BW2_PLLB,Yes,0xD,0xC,0xD
0x05A0[5:0],HOLDEXIT_BW3_PLLB,Yes,0xC,0xB,0xC
0x05A1[5:0],HOLDEXIT_BW4_PLLB,No,0x7,0x7,0x7
0x05A2[5:0],HOLDEXIT_BW5_PLLB,Yes,0x7,0x3F,0x7
0x05A6[2:0],RAMP_STEP_SIZE_PLLB,No,0x3,0x3,0x3
0x05A6[3],RAMP_SWITCH_EN_PLLB,No,0x1,0x1,0x1
0x0602[4],ADD_DIV256_PLLC,No,0x0,0x0,0x0
0x0608[5:0],BW0_PLLC,Yes,0x10,0xF,0x10
0x0609[5:0],BW1_PLLC,No,0x1E,0x1E,0x1E
0x060A[5:0],BW2_PLLC,Yes,0xD,0xC,0xD
0x060B[5:0],BW3_PLLC,Yes,0xC,0xB,0xC
0x060C[5:0],BW4_PLLC,No,0x7,0x7,0x7
0x060D[5:0],BW5_PLLC,Yes,0x7,0x3F,0x7
0x060E[5:0],FASTLOCK_BW0_PLLC,Yes,0x14,0x13,0x14
0x060F[5:0],FASTLOCK_BW1_PLLC,No,0x28,0x28,0x28
0x0610[5:0],FASTLOCK_BW2_PLLC,Yes,0x9,0x8,0x9
0x0611[5:0],FASTLOCK_BW3_PLLC,Yes,0x8,0x7,0x8
0x0612[5:0],FASTLOCK_BW4_PLLC,No,0x7,0x7,0x7
0x0613[5:0],FASTLOCK_BW5_PLLC,Yes,0x7,0x3F,0x7
0x0615[55:0],M_NUM_PLLC,Yes,0x3CC000000000,0xDEC0000000,0x3CC000000000
0x061C[31:0],M_DEN_PLLC,No,0x80000000,0x80000000,0x80000000
0x0621[3:0],M_FRAC_MODE_PLLC,No,0xB,0xB,0xB
0x0621[4],M_FRAC_EN_PLLC,Yes,0x0,0x1,0x0
0x0622[0],M_FSTEP_MSK_PLLC,No,0x1,0x1,0x1
0x0622[1],M_FSTEPW_DEN_PLLC,No,0x0,0x0,0x0
0x0623[55:0],M_FSTEPW_PLLC,No,0x0,0x0,0x0
0x062A[2:0],IN_SEL_PLLC,No,0x0,0x0,0x0
0x062B[0],FASTLOCK_AUTO_EN_PLLC,No,0x1,0x1,0x1
0x062B[1],FASTLOCK_MAN_PLLC,No,0x0,0x0,0x0
0x062C[0],HOLD_EN_PLLC,No,0x1,0x1,0x1
0x062C[3],HOLD_RAMP_BYP_PLLC,No,0x0,0x0,0x0
0x062C[4],HOLDEXIT_BW_SEL1_PLLC,No,0x0,0x0,0x0
0x062C[7:5],RAMP_STEP_INTERVAL_PLLC,No,0x4,0x4,0x4
0x062D[1],HOLD_RAMPBYP_NOHIST_PLLC,No,0x1,0x1,0x1
0x062E[4:0],HOLD_HIST_LEN_PLLC,No,0x19,0x19,0x19
0x062F[4:0],HOLD_HIST_DELAY_PLLC,No,0x19,0x19,0x19
0x0631[4:0],HOLD_REF_COUNT_FRC_PLLC,No,0x0,0x0,0x0
0x0632[23:0],HOLD_15M_CYC_COUNT_PLLC,Yes,0xA2C3,0x342,0xA2C3
0x0635[0],FORCE_HOLD_PLLC,No,0x0,0x0,0x0
0x0636[1:0],CLK_SWITCH_MODE_PLLC,No,0x2,0x2,0x2
0x0636[2],HSW_EN_PLLC,No,0x1,0x1,0x1
0x0637[3:0],IN_LOS_MSK_PLLC,No,0x0,0x0,0x0
0x0637[7:4],IN_OOF_MSK_PLLC,No,0x0,0x0,0x0
0x0638[2:0],IN0_PRIORITY_PLLC,Yes,0x1,0x0,0x1
0x0638[6:4],IN1_PRIORITY_PLLC,Yes,0x2,0x0,0x2
0x0639[2:0],IN2_PRIORITY_PLLC,Yes,0x3,0x1,0x3
0x0639[6:4],IN3_PRIORITY_PLLC,Yes,0x4,0x2,0x4
0x063A[1:0],HSW_MODE_PLLC,No,0x2,0x2,0x2
0x063A[3:2],HSW_PHMEAS_CTRL_PLLC,No,0x0,0x0,0x0
0x063B[9:0],HSW_PHMEAS_THR_PLLC,No,0x3,0x3,0x3
0x063D[4:0],HSW_COARSE_PM_LEN_PLLC,Yes,0xC,0x11,0xC
0x063E[4:0],HSW_COARSE_PM_DLY_PLLC,No,0x6,0x6,0x6
0x0642[17:0],FINE_ADJ_OVR_PLLC,No,0x0,0x0,0x0
0x0645[1],FORCE_FINE_ADJ_PLLC,No,0x0,0x0,0x0
0x0689[12:0],PFD_EN_DELAY_PLLC,Yes,0x2A0,0xD,0x2C1
0x069B[1],INIT_LP_CLOSE_HO_PLLC,No,0x1,0x1,0x1
0x069B[2],HO_SKIP_PHASE_PLLC,No,0x0,0x0,0x0
0x069B[4],HOLD_PRESERVE_HIST_PLLC,No,0x1,0x1,0x1
0x069B[5],HOLD_FRZ_WITH_INTONLY_PLLC,No,0x1,0x1,0x1
0x069B[6],HOLDEXIT_BW_SEL0_PLLC,No,0x1,0x1,0x1
0x069B[7],HOLDEXIT_STD_BO_PLLC,No,0x1,0x1,0x1
0x069D[5:0],HOLDEXIT_BW0_PLLC,Yes,0x10,0xF,0x10
0x069E[5:0],HOLDEXIT_BW1_PLLC,No,0x20,0x20,0x20
0x069F[5:0],HOLDEXIT_BW2_PLLC,Yes,0xD,0xC,0xD
0x06A0[5:0],HOLDEXIT_BW3_PLLC,Yes,0xC,0xB,0xC
0x06A1[5:0],HOLDEXIT_BW4_PLLC,No,0x7,0x7,0x7
0x06A2[5:0],HOLDEXIT_BW5_PLLC,Yes,0x7,0x3F,0x7
0x06A6[2:0],RAMP_STEP_SIZE_PLLC,No,0x3,0x3,0x3
0x06A6[3],RAMP_SWITCH_EN_PLLC,No,0x1,0x1,0x1
0x0702[4],ADD_DIV256_PLLD,No,0x0,0x0,0x0
0x0709[5:0],BW0_PLLD,Yes,0x10,0xF,0x10
0x070A[5:0],BW1_PLLD,No,0x1E,0x1E,0x1E
0x070B[5:0],BW2_PLLD,Yes,0xD,0xC,0xD
0x070C[5:0],BW3_PLLD,Yes,0xC,0xB,0xC
0x070D[5:0],BW4_PLLD,No,0x7,0x7,0x7
0x070E[5:0],BW5_PLLD,Yes,0x7,0x3F,0x7
0x070F[5:0],FASTLOCK_BW0_PLLD,Yes,0x14,0x13,0x14
0x0710[5:0],FASTLOCK_BW1_PLLD,No,0x28,0x28,0x28
0x0711[5:0],FASTLOCK_BW2_PLLD,Yes,0x9,0x8,0x9
0x0712[5:0],FASTLOCK_BW3_PLLD,Yes,0x8,0x7,0x8
0x0713[5:0],FASTLOCK_BW4_PLLD,No,0x7,0x7,0x7
0x0714[5:0],FASTLOCK_BW5_PLLD,Yes,0x7,0x3F,0x7
0x0716[55:0],M_NUM_PLLD,Yes,0x3A0200000000,0x12E20230000,0x3A0200000000
0x071D[31:0],M_DEN_PLLD,Yes,0x80000000,0xA0000000,0x80000000
0x0722[3:0],M_FRAC_MODE_PLLD,No,0xB,0xB,0xB
0x0722[4],M_FRAC_EN_PLLD,Yes,0x0,0x1,0x0
0x0723[0],M_FSTEP_MSK_PLLD,No,0x1,0x1,0x1
0x0723[1],M_FSTEPW_DEN_PLLD,No,0x0,0x0,0x0
0x0724[55:0],M_FSTEPW_PLLD,No,0x0,0x0,0x0
0x072B[2:0],IN_SEL_PLLD,No,0x0,0x0,0x0
0x072C[0],FASTLOCK_AUTO_EN_PLLD,No,0x1,0x1,0x1
0x072C[1],FASTLOCK_MAN_PLLD,No,0x0,0x0,0x0
0x072D[0],HOLD_EN_PLLD,No,0x1,0x1,0x1
0x072D[3],HOLD_RAMP_BYP_PLLD,No,0x0,0x0,0x0
0x072D[4],HOLDEXIT_BW_SEL1_PLLD,No,0x0,0x0,0x0
0x072D[7:5],RAMP_STEP_INTERVAL_PLLD,No,0x4,0x4,0x4
0x072E[1],HOLD_RAMPBYP_NOHIST_PLLD,No,0x1,0x1,0x1
0x072F[4:0],HOLD_HIST_LEN_PLLD,No,0x19,0x19,0x19
0x0730[4:0],HOLD_HIST_DELAY_PLLD,No,0x19,0x19,0x19
0x0732[4:0],HOLD_REF_COUNT_FRC_PLLD,No,0x0,0x0,0x0
0x0733[23:0],HOLD_15M_CYC_COUNT_PLLD,Yes,0xA2C3,0x342,0xA2C3
0x0736[0],FORCE_HOLD_PLLD,No,0x0,0x0,0x0
0x0737[1:0],CLK_SWITCH_MODE_PLLD,No,0x2,0x2,0x2
0x0737[2],HSW_EN_PLLD,No,0x1,0x1,0x1
0x0738[3:0],IN_LOS_MSK_PLLD,No,0x0,0x0,0x0
0x0738[7:4],IN_OOF_MSK_PLLD,No,0x0,0x0,0x0
0x0739[2:0],IN0_PRIORITY_PLLD,Yes,0x1,0x0,0x1
0x0739[6:4],IN1_PRIORITY_PLLD,Yes,0x2,0x0,0x2
0x073A[2:0],IN2_PRIORITY_PLLD,Yes,0x3,0x1,0x3
0x073A[6:4],IN3_PRIORITY_PLLD,Yes,0x4,0x2,0x4
0x073B[1:0],HSW_MODE_PLLD,No,0x2,0x2,0x2
0x073B[3:2],HSW_PHMEAS_CTRL_PLLD,No,0x0,0x0,0x0
0x073C[9:0],HSW_PHMEAS_THR_PLLD,No,0x3,0x3,0x3
0x073E[4:0],HSW_COARSE_PM_LEN_PLLD,Yes,0xC,0x11,0xC
0x073F[4:0],HSW_COARSE_PM_DLY_PLLD,No,0x6,0x6,0x6
0x0743[17:0],FINE_ADJ_OVR_PLLD,No,0x0,0x0,0x0
0x0746[1],FORCE_FINE_ADJ_PLLD,No,0x0,0x0,0x0
0x0789[12:0],PFD_EN_DELAY_PLLD,Yes,0x2A0,0xD,0x2C1
0x079B[1],INIT_LP_CLOSE_HO_PLLD,No,0x1,0x1,0x1
0x079B[2],HO_SKIP_PHASE_PLLD,No,0x0,0x0,0x0
0x079B[4],HOLD_PRESERVE_HIST_PLLD,No,0x1,0x1,0x1
0x079B[5],HOLD_FRZ_WITH_INTONLY_PLLD,No,0x1,0x1,0x1
0x079B[6],HOLDEXIT_BW_SEL0_PLLD,No,0x1,0x1,0x1
0x079B[7],HOLDEXIT_STD_BO_PLLD,No,0x1,0x1,0x1
0x079D[5:0],HOLDEXIT_BW0_PLLD,Yes,0x10,0xF,0x10
0x079E[5:0],HOLDEXIT_BW1_PLLD,No,0x20,0x20,0x20
0x079F[5:0],HOLDEXIT_BW2_PLLD,Yes,0xD,0xC,0xD
0x07A0[5:0],HOLDEXIT_BW3_PLLD,Yes,0xC,0xB,0xC
0x07A1[5:0],HOLDEXIT_BW4_PLLD,No,0x7,0x7,0x7
0x07A2[5:0],HOLDEXIT_BW5_PLLD,Yes,0x7,0x3F,0x7
0x07A6[2:0],RAMP_STEP_SIZE_PLLD,No,0x3,0x3,0x3
0x07A6[3],RAMP_SWITCH_EN_PLLD,No,0x1,0x1,0x1
0x0802[15:0],FIXREGSA0,No,0x435,0x435,0x435
0x0804[7:0],FIXREGSD0,No,0x0,0x0,0x0
0x0805[15:0],FIXREGSA1,No,0x445,0x445,0x445
0x0807[7:0],FIXREGSD1,No,0x0,0x0,0x0
0x0808[15:0],FIXREGSA2,No,0x442,0x442,0x442
0x080A[7:0],FIXREGSD2,No,0x0,0x0,0x0
0x080B[15:0],FIXREGSA3,No,0x443,0x443,0x443
0x080D[7:0],FIXREGSD3,No,0x0,0x0,0x0
0x080E[15:0],FIXREGSA4,No,0x444,0x444,0x444
0x0810[7:0],FIXREGSD4,No,0x0,0x0,0x0
0x0811[15:0],FIXREGSA5,No,0x535,0x535,0x535
0x0813[7:0],FIXREGSD5,No,0x0,0x0,0x0
0x0814[15:0],FIXREGSA6,No,0x545,0x545,0x545
0x0816[7:0],FIXREGSD6,No,0x0,0x0,0x0
0x0817[15:0],FIXREGSA7,No,0x542,0x542,0x542
0x0819[7:0],FIXREGSD7,No,0x0,0x0,0x0
0x081A[15:0],FIXREGSA8,No,0x543,0x543,0x543
0x081C[7:0],FIXREGSD8,No,0x0,0x0,0x0
0x081D[15:0],FIXREGSA9,No,0x544,0x544,0x544
0x081F[7:0],FIXREGSD9,No,0x0,0x0,0x0
0x0820[15:0],FIXREGSA10,No,0x635,0x635,0x635
0x0822[7:0],FIXREGSD10,No,0x0,0x0,0x0
0x0823[15:0],FIXREGSA11,No,0x645,0x645,0x645
0x0825[7:0],FIXREGSD11,No,0x0,0x0,0x0
0x0826[15:0],FIXREGSA12,No,0x642,0x642,0x642
0x0828[7:0],FIXREGSD12,No,0x0,0x0,0x0
0x0829[15:0],FIXREGSA13,No,0x643,0x643,0x643
0x082B[7:0],FIXREGSD13,No,0x0,0x0,0x0
0x082C[15:0],FIXREGSA14,No,0x644,0x644,0x644
0x082E[7:0],FIXREGSD14,No,0x0,0x0,0x0
0x082F[15:0],FIXREGSA15,No,0x736,0x736,0x736
0x0831[7:0],FIXREGSD15,No,0x0,0x0,0x0
0x0832[15:0],FIXREGSA16,No,0x746,0x746,0x746
0x0834[7:0],FIXREGSD16,No,0x0,0x0,0x0
0x0835[15:0],FIXREGSA17,No,0x743,0x743,0x743
0x0837[7:0],FIXREGSD17,No,0x0,0x0,0x0
0x0838[15:0],FIXREGSA18,No,0x744,0x744,0x744
0x083A[7:0],FIXREGSD18,No,0x0,0x0,0x0
0x083B[15:0],FIXREGSA19,No,0x745,0x745,0x745
0x083D[7:0],FIXREGSD19,No,0x0,0x0,0x0
0x083E[15:0],FIXREGSA20,No,0x0,0x0,0x0
0x0840[7:0],FIXREGSD20,No,0x0,0x0,0x0
0x0841[15:0],FIXREGSA21,No,0x0,0x0,0x0
0x0843[7:0],FIXREGSD21,No,0x0,0x0,0x0
0x0844[15:0],FIXREGSA22,No,0x0,0x0,0x0
0x0846[7:0],FIXREGSD22,No,0x0,0x0,0x0
0x0847[15:0],FIXREGSA23,No,0x0,0x0,0x0
0x0849[7:0],FIXREGSD23,No,0x0,0x0,0x0
0x084A[15:0],FIXREGSA24,No,0x0,0x0,0x0
0x084C[7:0],FIXREGSD24,No,0x0,0x0,0x0
0x084D[15:0],FIXREGSA25,No,0x0,0x0,0x0
0x084F[7:0],FIXREGSD25,No,0x0,0x0,0x0
0x0850[15:0],FIXREGSA26,No,0x0,0x0,0x0
0x0852[7:0],FIXREGSD26,No,0x0,0x0,0x0
0x0853[15:0],FIXREGSA27,No,0x0,0x0,0x0
0x0855[7:0],FIXREGSD27,No,0x0,0x0,0x0
0x0856[15:0],FIXREGSA28,No,0x0,0x0,0x0
0x0858[7:0],FIXREGSD28,No,0x0,0x0,0x0
0x0859[15:0],FIXREGSA29,No,0x0,0x0,0x0
0x085B[7:0],FIXREGSD29,No,0x0,0x0,0x0
0x085C[15:0],FIXREGSA30,No,0x0,0x0,0x0
0x085E[7:0],FIXREGSD30,No,0x0,0x0,0x0
0x085F[15:0],FIXREGSA31,No,0x0,0x0,0x0
0x0861[7:0],FIXREGSD31,No,0x0,0x0,0x0
0x090E[0],XAXB_EXTCLK_EN,No,0x0,0x0,0x0
0x0943[0],IO_VDD_SEL,No,0x0,0x0,0x0
0x0949[3:0],IN_EN,No,0xF,0xF,0xF
0x0949[7:4],IN_PULSED_CMOS_EN,No,0x0,0x0,0x0
0x094A[3:0],INX_TO_PFD_EN,No,0xF,0xF,0xF
0x094E[11:0],REFCLK_HYS_SEL,No,0x249,0x249,0x249
0x095E[0],MXAXB_INTEGER,No,0x0,0x0,0x0
0x0A03[4:0],N_CLK_TO_OUTX_EN,No,0xF,0xF,0xF
0x0A04[4:0],N_PIBYP,No,0x0,0x0,0x0
0x0A05[4:0],N_PDNB,No,0xF,0xF,0xF
0x0B44[3:0],PDIV_FRACN_CLK_DIS,No,0xF,0xF,0xF
0x0B44[4],FRACN_CLK_DIS_PLLA,Yes,0x0,0x1,0x0
0x0B44[5],FRACN_CLK_DIS_PLLB,No,0x0,0x0,0x0
0x0B44[6],FRACN_CLK_DIS_PLLC,Yes,0x1,0x0,0x1
0x0B44[7],FRACN_CLK_DIS_PLLD,Yes,0x1,0x0,0x1
0x0B45[0],CLK_DIS_PLLA,No,0x0,0x0,0x0
0x0B45[1],CLK_DIS_PLLB,No,0x0,0x0,0x0
0x0B45[2],CLK_DIS_PLLC,No,0x0,0x0,0x0
0x0B45[3],CLK_DIS_PLLD,No,0x0,0x0,0x0
0x0B46[3:0],LOS_CLK_DIS,No,0x0,0x0,0x0
0x0B47[4:0],OOF_CLK_DIS,No,0x0,0x0,0x0
0x0B48[4:0],OOF_DIV_CLK_DIS,No,0x0,0x0,0x0
0x0B4A[4:0],N_CLK_DIS,No,0x0,0x0,0x0
0x0B57[11:0],VCO_RESET_CALCODE,No,0x10E,0x10E,0x10E
